id,text,label,origin,type,language,split
fr_cadecv2_1599,"SATAN, OUI, ÇA CAUSE UN GAIN DE POIDS!!!",1.0,cadec_v2_translated_CYMBALTA-CYMBALTA.1316_fr,drug_review,fr,SMM4H_2026_train
fr_cadecv2_231,"La sudation nocturne, manque de libido, acouphènes, appétit accru, insomnie, maux de tête, palpitations, vision floue",1.0,cadec_v2_translated_CYMBALTA-CYMBALTA.324_fr,drug_review,fr,SMM4H_2026_train
fr_cadecv2_983,Anxiété palpitations cardiaques somnolence Mais soulagé douleur de reflux gastrique,1.0,cadec_v2_translated_PPIS-ZANTAC150.162_fr,drug_review,fr,SMM4H_2026_train
de_cadecv2_2145,"Ich bin hypersensitiv für Medikamente und dieses hier ist großartig, es hilft tatsächlich, den Blutdruck und den Puls zu senken.",0.0,cadec_v2_translated_PPIS-ZANTAC150.60_de,drug_review,de,SMM4H_2026_train
de_cadecv2_2186,"Keine Nebenwirkungen überhaupt. Wenn ich einen Tag oder zwei auslasse, leide ich definitiv! Ich liebe Nexium. Es funktioniert wunderbar für mich. :)",0.0,cadec_v2_translated_NEXIUM-NEXIUM.158_de,drug_review,de,SMM4H_2026_train
fr_cadecv2_1710,"Aucun que je sache. C'est le seul médicament que j'ai pris qui semble aider de manière constante contre le reflux gastrique. Ce n'est pas parfait. J'ai des poussées mais en le prenant deux fois par jour, cela reste majoritairement sous contrôle, au point où je ne ressens plus comme si mon gorge brûlait constamment. J'ai essayé d'autres médicaments... Tagamét, Prevacid, Aciphex et ils ne fonctionnent pas du tout ou cessaient de fonctionner après un court moment. Celui-ci marche pour moi. Et honnêtement, cela semble que la forme générique que je achète à prix réduit chez Target marche mieux que la marque. C'est curieux.",0.0,cadec_v2_translated_PPIS-ZANTAC150.10_fr,drug_review,fr,SMM4H_2026_train
fr_cadecv2_2140,"Aucun, jamais ne l'a pris en raison de ce site web. Ressemble à un spectacle d'horreur. Très cher. Seulement un générateur de revenus pour Lilly. Doit être retiré du marché avant qu'une personne ne meure.",0.0,cadec_v2_translated_CYMBALTA-CYMBALTA.1435_fr,drug_review,fr,SMM4H_2026_train
de_cadecv2_1923,"Extremer Schweiß & Schlafstörungen, Suizidgedanken, beschleunigter Herzschlag, Panikattacken, Aggressivität, ich ging mehrere Monate zu meinem Arzt, um etwas zu finden, um mich zu beruhigen, nachdem mein Leben mit verschiedenen Problemen explodiert war – Lohnkürzung (Wirtschaftsabschwung mit der Firma), kaum noch den riesigen Hypothekenzinsen zu stemmen, eine Familienmitglied ins Gefängnis wegen ihrer Drogenabhängigkeit/Verbreitung, und jetzt mit Anwälten und riesigen Rechnungen zusätzlich zu allem anderen zu kämpfen. Ich begann mit Paxil, was katastrophal endete. Ich wurde emotional völlig taub, verbunden mit extremer Übelkeit und verlor das Interesse an fast allem und wurde depressiv, obwohl ich zuerst nicht depressiv war. Nach zwei Monaten konnte ich es nicht mehr ertragen und ging zum Arzt zurück, um etwas anderes zu hoffen. Er wechselte mich dann auf Prozac. Dies war der Zeitpunkt, an dem der Schweiß wirklich begann: Ständig, Tag und Nacht, egal ob ich mich bewegte oder nicht, ich schwitzte stark. Ich musste morgens vor einem Ventilator stehen, alle Fenster im Haus geöffnet, während ich mich auf die Arbeit vorbereitete, nach meiner Dusche, obwohl es außen 50 Grad in der Nebelwetter von San Francisco war. Zwei Monate nach Prozac fühlte ich mich deutlich unruhiger, aggressiver, bekam Streit mit Kollegen über nichts, kaum noch schlief... im Grunde schlimmer als zuvor, bevor ich irgendeine verdammte Pillen nahm. Schließlich ging ich zum Arzt zurück und er wechselte mich auf Cymbalta. Nach einigen Wochen bin ich jetzt überzeugt, dass mein Körper kein einziger Antidepressivum vertragen kann. Cymbalta erhöhte nicht nur meine bereits vorhandene",1.0,cadec_v2_translated_CYMBALTA-CYMBALTA.2176_de,drug_review,de,SMM4H_2026_train
de_cadecv2_893,"Schwindel. Vollständiger Verlust der Innenohr-Balancefunktion. Gefühlsstörung mit verstopftem Kopf. Schwindel setzte kurz nach Beginn ein. Konkret gesagt, zerstörte es meine gesamte Vestibular-Balancefunktion. Auf andere Weise. Ich hatte mein kinetisches Gefühl und mein visuelles Gefühl, konnte aber beispielsweise nicht aufrecht stehen, wenn ich die Augen schloss, ohne umzufallen. Ich konnte auf einen Stuhl oder das Bett oder im Bett liegen und es war in Ordnung, weil mein Körper in starker Berührung mit einer zuverlässigen Oberfläche oder bekannter Orientierung war. Ich zog mich von dem Medikament zurück, das nur eine geringfügige Verbesserung gegenüber meinen anderen beiden BO-Medikamenten bot, die ich Jahre lang eingenommen habe, mit unerwünschten Nebenwirkungen. Nach 48 Stunden begann meine Innenohr-Funktion wieder zurückzukehren, aber unregelmäßig, was zu frankem Schwindel führte. Es sind jetzt fünf Tage ohne, und meine Innenohr-Funktion ist etwas normalisiert. Ich kann beispielsweise aufrecht stehen, wenn ich die Augen schließe. Ich habe immer noch das ""verstopfte Kopf"" Gefühl, das mit dem Schwindel einherging, aber es ist weniger stark. Ich verdanke diesem wen-Website und den Beiträgen aller anderen die Hinweise. Der Umstand, dass dies kurz nach Einnahme des Medikaments auftrat und innerhalb von Tagen nach Absetzen verschwand, lässt kaum Zweifel an der Ursache. Medikamente haben Nebenwirkungen. Nicht jeder bekommt sie, und nicht jeder bekommt dieselben. Die meisten haben keinerlei Nebenwirkungen und haben eine zufriedenstellende Erfahrung. Die anderen beiden Medikamente, die ich nehme, haben ebenfalls bekannte unerwünschte Nebenwirkungen, aber ich hatte nie welche, die mir Probleme bereiteten. (Ich zähle nächtliche Toilettengänge nicht als unerwünschte Nebenwirkung eines Diuretikums. Das ist einfach, wie sie funktionieren.) Dieses Medikament ist nicht ein ""schlechtes"" Medikament, aber es scheint",1.0,cadec_v2_translated_ANTIHYPERTENSIVES-NORVASC.2_de,drug_review,de,SMM4H_2026_train
de_cadecv2_1427,"Ausgezeichnet, Sodbrennen vorbei",0.0,cadec_v2_translated_PPIS-ZANTAC150.156_de,drug_review,de,SMM4H_2026_train
